0.000000000E0,1.355418419E1
1.000000000E-2,1.355201002E1
2.000000000E-2,1.355351847E1
3.000000000E-2,1.355507400E1
4.000000000E-2,1.355941920E1
5.000000000E-2,1.356016929E1
6.000000000E-2,1.357018778E1
7.000000000E-2,1.362771113E1
8.000000000E-2,1.368457056E1
9.000000000E-2,1.385445137E1
1.000000000E-1,1.406107479E1
1.100000000E-1,1.425916094E1
1.200000000E-1,1.456823112E1
1.300000000E-1,1.494528341E1
1.400000000E-1,1.530155737E1
1.500000000E-1,1.575648114E1
1.600000000E-1,1.618671829E1
1.700000000E-1,1.666851514E1
1.800000000E-1,1.715745597E1
1.900000000E-1,1.766119412E1
2.000000000E-1,1.810478761E1
2.100000000E-1,1.856935484E1
2.200000000E-1,1.906992150E1
2.300000000E-1,1.942499586E1
2.400000000E-1,1.981056165E1
2.500000000E-1,2.013104865E1
2.600000000E-1,2.046822560E1
2.700000000E-1,2.067101686E1
2.800000000E-1,2.088465562E1
2.900000000E-1,2.102558182E1
3.000000000E-1,2.110973769E1
3.100000000E-1,2.111793348E1
3.200000000E-1,2.105312492E1
3.300000000E-1,2.099120937E1
3.400000000E-1,2.084903528E1
3.500000000E-1,2.068094975E1
3.600000000E-1,2.049531688E1
3.700000000E-1,2.028269419E1
3.800000000E-1,2.006703679E1
3.900000000E-1,1.988557164E1
4.000000000E-1,1.960311849E1
4.100000000E-1,1.929705969E1
4.200000000E-1,1.907532353E1
4.300000000E-1,1.877830439E1
4.400000000E-1,1.855287231E1
4.500000000E-1,1.828152000E1
4.600000000E-1,1.793735318E1
4.700000000E-1,1.771677592E1
4.800000000E-1,1.752438155E1
4.900000000E-1,1.734025783E1
5.000000000E-1,1.712856148E1
5.100000000E-1,1.697139783E1
5.200000000E-1,1.685674638E1
5.300000000E-1,1.675901852E1
5.400000000E-1,1.668129705E1
5.500000000E-1,1.665198245E1
5.600000000E-1,1.664088443E1
5.700000000E-1,1.665484445E1
5.800000000E-1,1.666713886E1
5.900000000E-1,1.669725210E1
6.000000000E-1,1.673543603E1
6.100000000E-1,1.680327387E1
6.200000000E-1,1.688645715E1
6.300000000E-1,1.697932088E1
6.400000000E-1,1.707473677E1
6.500000000E-1,1.718330950E1
6.600000000E-1,1.735105500E1
6.700000000E-1,1.745320710E1
6.800000000E-1,1.756368667E1
6.900000000E-1,1.768345468E1
7.100000000E-1,1.789004875E1
7.200000000E-1,1.803081859E1
7.300000000E-1,1.810179990E1
7.400000000E-1,1.822408562E1
7.500000000E-1,1.828828831E1
7.600000000E-1,1.837739701E1
7.700000000E-1,1.841849151E1
7.800000000E-1,1.845736328E1
7.900000000E-1,1.850390406E1
8.000000000E-1,1.854102497E1
8.100000000E-1,1.856714943E1
8.200000000E-1,1.857462554E1
8.300000000E-1,1.857925183E1
8.400000000E-1,1.858011746E1
8.500000000E-1,1.858093486E1
8.600000000E-1,1.858493013E1
8.700000000E-1,1.858445616E1
8.800000000E-1,1.858223636E1
8.900000000E-1,1.858168254E1
9.000000000E-1,1.858500679E1
9.100000000E-1,1.858405483E1
9.200000000E-1,1.858309641E1
9.300000000E-1,1.858194206E1
9.400000000E-1,1.858347854E1
